ID,Name,Description,ColumnSpec,Area,Contribution_ID,Feature_Description,Source
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,,,Morphology,UT,"
Deontic necessity can be associated with the expression of obligation, the source of which is the speaker or another source (some authority). In Tundra Nenets, the debitive is one of several moods used to express obligation (1). Here, we are not interested in verbs marked with the imperative mood.

(1) Tundra Nenets<br/>
>*mənʹ° sʹit° **xadawəntad°m***<br/>
>mənʹ° sʹit° xada-wənta-d°m<br/>
>I you.ACC kill-DEB-1SG<br/>
>‘I must kill you’<br/>
([Nikolaeva 2014](sources.bib?label=Nikolaeva+2014#cldf:nikolaeva_grammar_2014):195)

## Coding

The value is '1' if there is a dedicated morphological marker used to express deontic necessity. The answer is '0' if necessity can only be conveyed using lexical means, analytical constructions, or particles.
",nikolaeva_grammar_2014
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,,,Morphology,UT,"
Epistemic modality can be defined as the “speaker’s evaluation of the likelihood of a state of affairs” ([Nuyts 2001](sources.bib?label=Nuyts+2001#cldf:Nuyts2001):xv). For instance, *Jane is probably/may be at work* can be analysed as follows: the speaker holds that the proposition ""Jane is at work"" is not certain but only a mere possibility, relative to what s/he knows or his/her evidence. This question asks whether there is morphological marking available in such instances (see example 1). 

(1) Finnish<br/>
>*Porukan vanhimpana hän **puhunee** kokemuksesta*<br/>
>poruka-n vanh-i-mpa-na hän puhu-nee kokemukse-sta<br/>
>group-GEN old-PL-CMPR-ESS 3SG speak-POT.3SG experience-ELA<br/>
>‘As the oldest in the group, he probably speaks from experience’ 

## Coding

The value is '1' if epistemic possibility can be expressed using a dedicated morphological means. If a language only contains lexical means or phonologically independent means (particles, auxiliaries), the value is '0'.
",Nuyts2001
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,,,Morphology,UT,"
Deontic possibility has to do with permission, e.g., *You may leave the hospital after a week*. This question asks whether there is a morphological marker, which can be used to convey such a meaning. In Hungarian, the suffix *-het/-hat* is used to give permission (1) (additionally it functions as a marker of epistemic possibility).

(1) Hungarian<br/>
>*bejöhetsz*<br/> 
>bejö-het-sz<br/> 
>in_come-POT-2SG<br/>
>‘you may come in’

## Coding

The answer is '1' if there is a dedicated morphological marker used to grant permission. If a language only makes use of lexical means or phonologically independent means (particles, auxiliaries), the value is '0'.",
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",,,Morphology,UT,"
A command addressed to a singular 2nd person can be regarded as a canonical imperative, but commands can also be addressed to other persons ([Aikhenvald 2015](sources.bib?label=Aikhenvald+2015#cldf:aikhenvald_2015): 234). The aim of this question is to determine whether a non-indicative morphological marking can be used on the verb to direct a command/wish, etc. to the singular 3rd person, as in (1) (cf. also UT032). (The corresponding form is usually called a *jussive*, *optative*, or *imperative*.)

(1) Finnish<br/>
>*Hän  **tulkoon** sisään*<br/>
>hän  tul-koon sisään<br/>
>s/he  come-JUSS.3SG inside<br/>
>‘Let him/her come inside!’

## Coding

The value is '1' if a morphological marking (different from the indicative) can appear on the verb to convey a command directed to the singular 3rd person. If there is no such marking or this function is encoded only by a particle the value is '0'.
",aikhenvald_2015
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",,,Morphology,UT,"
In addition to commands addressed to a singular 2nd person it is also possible to direct commands to other persons (see also UT031). This question asks whether a non-indicative morphological marking can be used on the verb to direct a command/wish, etc. to the singular 1st person, as in example (1). (The corresponding form is usually called a *jussive*, *optative*, *imperative* or *hortative*.)

(1) Estonian<br/>
>*Ta soovitas, et ma **mingu** ees*<br/>
>Ta soovita-s, et ma  min-gu ees<br/>
>3SG suggest-PST.3SG that 1SG go-JUSS in_front<br/>
>‘S/he suggested that I should go ahead’ 

## Coding

The value is '1' if a morphological marking can be used on the verb to direct a command/wish, etc. to a singular 1st person. If there is no such marking or this function is encoded only by a particle the value is '0'.",
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,,,Syntax,UT,"
Complement clauses introduced by verbs of different semantic types (e.g., 'want', 'order', 'see' etc.) may require a specific marking on the verb in the complement clause. The aim of this question is to find out whether imperative/jussive marking occurs in complement clauses introduced by verbs conveying 'wish', 'want', or related meanings (see example 1). (Instead of *imperative* or *jussive* the terms *subjunctive* or *conjunctive* may also be used.)

(1) Hungarian<br/>
>*Nem akar-ja, hogy **kijöjjünk** a víz-ből*<br/>
>NEG want-3SG.DEF that out_come.SUBJ.1PL.INDEF DEF.ART water-ELA<br/> 
>'S/he doesn't want us to come out of the water'<br/>
>([Rounds 2001](sources.bib?label=Rounds+2001#cldf:rounds_hungarian_2001))

## Coding

The value is '1' if imperative/jussive marking can appear on the verb in the complement clause introduced by predicates expressing wish, desire, or will.
",rounds_hungarian_2001
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,,,Morphology,UT,"
The apprehensive marker is used to express fear or regret about a certain situation; the state of affairs may be viewed as something undesirable. In Tundra Nenets, the apprehensive mood is used to convey fear about the future, in which case the apprehensive marker typically occurs on the negative auxiliary (see 1); a further meaning is regret about the past (see 2) ([Nikolaeva 2014](sources.bib?label=Nikolaeva+2014#cldf:nikolaeva_grammar_2014):90-91).

(1) Tundra Nenets<br/>
>*yer°mpoy°  nʹū-mʹi  ŋanʹih  nʹi-r°wa-q    xaŋkul°-q!*<br/>
>INTRJ   child-1SG  again  NEG-APPR-REFL.3SG  get.ill-CONNEG<br/>
>‘If only my child wouldn’t get ill!’<br/>
([Nikolaeva 2014](sources.bib?label=Nikolaeva+2014#cldf:nikolaeva_grammar_2014):90)

(2) Tundra Nenets<br/>
>*nʹer°q tū-l°wa-n°=wa*<br/>
>earlier come-APPR-2SG-ASS<br/>
>‘If only you had come earlier!’<br/>
([Nikolaeva 2014](sources.bib?label=Nikolaeva+2014#cldf:nikolaeva_grammar_2014):90)

## Coding

The answer is '1' if there is a dedicated morphological marker used to express apprehension. If a language only makes use of lexical means or phonologically independent means (particles, auxiliaries), the value is '0'.
",nikolaeva_grammar_2014
UT035,Is there a reflexive conjugation?,,,Morphology,UT,"
In the case of a reflexive verb, an agent can be viewed as performing an action directed at itself; such verbs are often accompanied by reflexive pronouns (e.g., *dress oneself*). Here, we are interested to determine whether a language contains a separate paradigm of verb affixes used to convey reflexivity, as in Veps (cf. 1a and 1b).

(1) Veps<br/>
>a. *pezen : pezed*, etc. (non-reflexive conjugation)<br/> 
>peze-n : peze-d<br/>
>wash-1SG : wash-2SG<br/>
>‘I wash' : 'you wash’, etc.<br/>

>b. *pezemoi : pezetoi*, etc. (reflexive conjugation)<br/> 
>peze-moi : peze-toi<br/> 
>wash-REFL.1SG : wash-REFL.2SG<br/>
>‘I wash myself’ : ‘you wash yourself’, etc.<br/>
([Grünthal 2015](sources.bib?label=Gr%C3%BCnthal+2015#cldf:grunthal_vepsan_2015): 143)

## Coding

The value is '1' if the reflexive conjugation is available in various persons and it differs from the non-reflexive conjugation (as in Veps). If a language only contains a reflexive derivational suffix, the value is '0'. For example, in Meadow Mari the derivational suffix *-alt* precedes the personal suffixes and it does not vary throughout the paradigm (Riese et al. 2022: 383). Thus, for Meadow Mari the value is '0'.
",grunthal_vepsan_2015;riese_mari_2022
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,,,Morphology,UT,"
In the case of syncretism, a single form is used to express two or more functions within the inflectional paradigm. This question aims to capture syncretism in non-singular 2nd and 3rd person forms. In Livonian, for instance, there is syncretism in the past tense forms (1), whereas in Tundra Nenets syncretism involves the present tense forms of the objective conjugation in the dual (2).

(1) Livonian<br/>
>*jelīztõ*<br/> 
>jel-īz-tõ<br/> 
>live-PST-2PL/3PL<br/> 
>‘you/they lived’

(2) Tundra Nenets<br/> 
>*meŋaxəyud′ih*<br/>
>meŋa-xəyu-d′ih<br/>
>take-DU.OBJ-2DU/3DU<br/>
>‘you two/they two take (sth)’<br/>
>([Nikolaeva 2014](sources.bib?label=Nikolaeva+2014#cldf:nikolaeva_grammar_2014):79)

## Coding

The value is '1' if non-singular 2nd and 3rd person can be marked the same way, which makes them different (at least) from the non-singular 1st person.
",nikolaeva_grammar_2014
UT200,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,,,Syntax,UT,"
This question asks whether one and the same verb form can appear in the finite paradigm (i.e., the 3rd person plural verb form) as well as impersonal (or passive) paradigm. For instance, this is the case in Livonian (1a-b) and Veps (2a-b).

(1) Livonian<br/> 
> a. *ne **vȯstīztõ** būomvillizt luoimõ*<br/>
>ne vȯst-īz-tõ būomvilliz-t luoimõ<br/>
> 3PL buy-PST-3PL cotton.ADJ-PRT thread.PRT<br/>
>‘They bought cotton thread’<br/>

>b. *Siz mūndakõrd **vȯstīztõ** būomvillizt luoimõ*<br/>
>siz mūndakõrd vȯst-īz-tõ būomvilliz-t luoimõ<br/>
>then sometimes buy-PST-3PL cotton.ADJ-PRT thread.PRT<br/>
>‘Then sometimes cotton thread was bought’<br/>
>([Viitso 2008](sources.bib?label=Viitso+2008#cldf:viitso_liivi_2008):321)

(2) Veps<br/>
>a. *hijamot **tehtas** paidha, ombeldas*<br/>
>hijamo-t teh-tas paid-ha, ombel-das<br/>
> sleeve-PL make-PRS.PASS shirt-ILL sew-PRS.PASS<br/>
>‘Sleeves are made and sewn onto the shirt’<br/>
>([Grünthal 2015](sources.bib?label=Gr%C3%BCnthal+2015#cldf:grunthal_vepsan_2015):258)

>b. *hö **tehtas***<br/> 
> hö teh-tas<br/> 
> 3PL make-PRS.PASS<br/>
> ‘They make’<br/>

## Coding

The value is '1' if one and the same verb form can be used on both occasions.
",grunthal_vepsan_2015;viitso_liivi_2008
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,,,Syntax,UT,"
The canonical function of the 2nd person singular forms is to refer to the addressee. However, they may also receive a generic interpretation when used without any specific 2nd person addressee in mind. There are instances that are unambiguously generic as otherwise the interpretation would literally be wrong, while other sentences allow for several interpretations ([Gast et al. 2015](sources.bib?label=Gast+et+al.+2015#cldf:Gast2015):148-149). Although without a broader context the Veps example (1) could be directed to the addressee, 2Sg forms are also attested with a generic function (see [Grünthal 2015](sources.bib?label=Gr%C3%BCnthal+2015#cldf:grunthal_vepsan_2015):125). 

>(1) Veps<br/>
>*Oludespai  **humalstud***<br/>
>olude-spai  humalstu-d<br/>
>beer-ELA get_drunk-2SG<br/>
>'One gets drunk from beer’<br/>
([Grünthal 2015](sources.bib?label=Gr%C3%BCnthal+2015#cldf:grunthal_vepsan_2015): 125)

## Coding

The value is '1' if 2Sg forms are commonly found to express a generic meaning in a language. If 2Sg forms are possible but rare, the value is '0'
",Gast2015;grunthal_vepsan_2015
UT201,Can an infinitival verb form be used in a directive function?,,,Syntax,UT,"
This question asks whether an infinitival verb form can appear as the only predicate in the clause with a directive function (example 1).

(1) North Saami<br/>
>*Ii **doarrut**!*<br/>
>*Ii doarru-t!*<br/>
>NEG.3SG quarrel-INF<br/>
>'Do not quarrel!'<br/>

The addressee of a directive expressed with an infinitive is an impersonal or implicit referent. Infinitive directives can have several specific functions in discourse: they are used, e.g., as generic instructions, strong commands, curt commands, proscriptions, instructions. ([Aikhenvald 2010](sources.bib?label=Aikhenvald+2010#cldf:aikhenvald_2010):281-283)

## Coding

The value is '1' if an infinitive can be used in an independent clause (main clause) with a directive function. The value is '0' if there are no such examples or an infinitive only appears as a result of dropping an auxiliary. (Although infinitives together with participles and converbs can be regarded as non-finite forms, this question only targets infinitives.)
",aikhenvald_2010
UT043,Can verbs in purposive subordinate clauses be infinitive forms?,,,Syntax,UT,"
A subordinate (or dependent) clause functions as a constituent of the main clause. Purposive clauses are a type of subordinate clauses used to express meanings like ‘in order to’, ‘so that’ etc. (2). Purposive clauses function as adjuncts - typically of adverbial clauses - as they are not obligatory constituents of the clause. Here, we also considered purposive clauses introduced by a complementizer, such as *et* in example (1b). (The purposive clause may also be called a *final clause*.)

(1) Estonian<br/>
>a. *Ma lähen Ungarisse ungari keelt **õppima***<br/>
>ma lähe-n Ungari-sse ungari keel-t õppi-ma<br/>
>1SG go-1SG Hungary-ILL Hungarian language-PRT study-INF2<br/>

>b. *Ma lähen Ungarisse, et ungari keelt **õppida***<br/>
>ma lähe-n Ungari-sse, et ungari keel-t õppi-da<br/>
>1SG go-1SG Hungary-ILL in_order Hungarian language-PRT study-INF1<br/>
>'I’m going to Hungary in order to study Hungarian'<br/>

## Coding

The value is '1' if it is possible to use an infinitive form in the purposive subordinate clause (1a-b).",
UT044,Are there sentences without overt verbal arguments?,,,Syntax,UT,"
There may be verbs that do not require any verbal arguments (such as a subject or an object) but can form sentences on their own. This is often attested with the so-called meteorological or weather verbs, as in examples (1-2).

(1) Finnish<br/> 
>*Sataa*<br/> 
>rain.3SG<br/>
>'It is raining'

(2) South Saami<br/> 
>*Tjåetskeme*<br/> 
>cold_weather.NMLZ<br/> 
>‘It is cold’

## Coding

The value is '1' if there are avalent verbs, i.e., verbs that do not need any arguments. The value is '0' if it is necessary to use a subject, including a dummy subject or expletive subject (such as *it* in the translations above).",
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,,,Syntax,UT,"
Clauses that express proper inclusion, equation, attribution, location, existence, and possession may be collectively referred to as predicate nominals. Here, we are only interested in what could, in a more restricted sense, be referred to as *predicate nominals* and *predicate adjectives*. The respective clauses typically express equation (*He is my father*), proper inclusion (*He is a teacher*), and attribution (*He is tall*). The term *copula* designates a verb (e.g., *be* in example 1 and 2), an affix, or a particle that joins two nominal elements and functions as the predicate nucleus ([Payne 1997](sources.bib?label=Payne+1997#cldf:payne_1997):115; [Pustet 2003](sources.bib?label=Pustet+2003#cldf:pustet_2003):5). The aim of this question is to determine whether predicate nominal and prediate adjective clauses typically follow the structure *NP copula NP* (see example 1) or *NP copula AdjP* (see example 2) when used for the 3rd person singular and present time reference. 

(1) Estonian<br/>
>*Ta **on** õpetaja*<br/> 
>s/he be.3SG teacher<br/>
>'S/he is a teacher’

(2) Skolt Saami<br/>
>*Nijdd **lij** äʹrǧǧ*<br/>
>girl.SG.NOM PRS.3SG shy.SG.NOM<br/>
>'The girl is shy'<br/>
([Feist 2015](sources.bib?label=Feist+2015#cldf:feist_grammar_2015):179)

## Coding

The value is '1' if a copula is needed/commonly used in the simplest predicate nominal constructions, i.e., the present tense. When answering this question, only instances of 3Sg and present affirmative forms were considered.
",feist_grammar_2015;payne_1997;pustet_2003
UT202,Is a copula commonly used for predicate nominals in the past tense?,,,Syntax,UT,"
Clauses that express proper inclusion, equation, attribution, location, existence, and possession may be collectively referred to as predicate nominals. Here, we are only interested in what could, in a more restricted sense, be referred to as *predicate nominals* and *predicate adjectives*. They involve the structure *NP copula NP* or *NP copula AdjP*, where *copula* usually designates a verb, but it may also be an affix, or a particle that joins two nominal elements ([Payne 1997](sources.bib?label=Payne+1997#cldf:payne_1997):115; [Pustet 2003](sources.bib?label=Pustet+2003#cldf:pustet_2003):5). This question asks whether a copula is commonly used in the past tense, as in examples (1) and (2) (for clauses with present time reference, see UT045).

(1) Livonian<br/>
>*Se  **vȯļ** tä’m tidār mīez*<br/> 
>this be.PST.3SG 3SG.GEN daughter.GEN husband<br/>
>‘This was his daughter’s husband’

(2) Nganasan<br/>
>*betі͡aŋɨči ńaagəəɁ **isʲüəɁ***<br/>
>betі͡aŋɨ-či ńaagəə-Ɂ i-sʲüə-Ɂ<br/>
>broad.whitefish-PL.3SGPOSS good-PL be-PST-3PL<br/>
>'The briad whitefish were good'<br/>
([Wagner-Nagy 2018](sources.bib?label=Wagner-Nagy+2018#cldf:wagner-nagy_grammar_2018):350)

## Coding

The value is '1' if a copula is commonly used in clauses with past time reference. When answering this question only affirmative past tense forms were considered.
",payne_1997;pustet_2003;wagner-nagy_grammar_2018
UT047,Can locative constructions commonly occur without a copula?,,,Syntax,UT,"
Locative predicates are a type of nonverbal predicate used to convey location ([Dryer 2007](sources.bib?label=Dryer+2007#cldf:Dryer_2007)). A locative predicate involves a locative adverbial phrase that is usually a noun (or a prepositional) phrase or a clause with locational meaning. The aim of this question is to determine whether locative predicates can commonly occur without a copula, as in example (1).

(1) South Saami<br/>
>*Manne ålkone*<br/>
>I out<br/>
>'I am outside’

By comparison, in Finnish it is not common to omit a copula in such cases:

(2) Finnish<br/>
>*Minä olen ulkona*<br/>
>minä ole-n ulkona<br/>
>I be-1SG out<br/>
>‘I am outside’

## Coding

The value is '1' if locative adverbial phrases are commonly attested without a copula (usually a 'be'-verb), as in South Saami (1). If locative predicates typically require a copula, as in Finnish (2), the value is '0'.
",Dryer_2007
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",,,Syntax,UT,"
Coordination is used to mean joining syntactic constructions of the same type into larger units. This may be done by simply placing two units next to each other (juxtaposition) or by applying a linker or a coordinator ([Velupillai 2012](sources.bib?label=Velupillai+2012#cldf:Velupillai2012):318). This question asks whether it is common to use the same coordinator for conjunctive coordination (i.e., 'and'-coordination) in the case of NPs, VPs, and clauses, as in example (1a-c).

(1) Hungarian<br/>
>a. *Anna **és** Péter* ‘Anna and Peter’<br/>
>b. *Péter olvas **és** tanul* ‘Peter is reading and studying’<br/>
>c. *Péter olvas **és** Anna tanul* ‘Peter is reading and Anna is studying'

## Coding

The value is '1' if the same coordinating conjunction is commonly used for NPs, VPs, and clauses. The answer is '0' if a different strategy (e.g., juxtaposition) is more typical in at least one of the cases.
",Velupillai2012
UT049,Does existential negation have a special negator?,,,Syntax,UT,"
The negative strategies used for standard negation (i.e., negation of declarative verbal main clauses) often differ from stategies used in existentials, imperatives, and nonverbal clauses ([Miestamo 2007](sources.bib?label=Miestamo+2007#cldf:Miestamo2007)). This question investigates whether existentials require a special negative marker not found with standard negation. For instance, the Hungarian *nincs* occurs in existentials (1a), whereas *nem* is used for standard negation (1b).

(1) Hungarian<br/>
>a. ***Nincs**  igazság a  Földön*<br/>
>nincs  igazság a  Föld-ön<br/>
>NEG justice ART world-ADE<br/>
>‘There is no justice in the world’<br/>
>([Rounds 2001](sources.bib?label=Rounds+2001#cldf:rounds_hungarian_2001): 271)

>b. *jövök : **nem**  jövök*<br/>
>jövö-k : nem jövö-k<br/>
>come-1SG : NEG come-1SG<br/>
>'I'm coming : I'm not coming'

## Coding

The value is '1' if existential and standard negation are expressed by different negative markers (as in Hungarian).
",Miestamo2007;rounds_hungarian_2001
UT050,Can standard negation be asymmetric in the present tense?,,,Syntax,UT,"
Standard negation stands for the negation of declerative verbal main clauses. A distinction can be made between symmetric and asymmetric negation. Whereas in the case of symmetric negation the affirmative and negative clauses only differ by the negative marker, asymmetric negation differs in other ways too, e.g., negation may affect the finiteness of verbal elements, marking of grammatical categories, reality status of events, etc. ([Miestamo 2013](sources.bib?label=Miestamo+2013#cldf:wals-114)). Both systems can co-occur in a language. For example, in Livonian, plural forms only differ in terms of the negative marker (= symmetric negation), while singular forms additionally show differences in person marking (= asymmetric negation) ([Metslang et al. 2015](sources.bib?label=Metslang+et+al.+2015#cldf:metslang_et_al_2015):435), cf. examples (1a) and (1b). The aim of this question is to examine the occurrence of asymmetric standard negation in the present tense.

(1) Livonian<br/>
>a. *ma **lugūb** vs.  ma **äb lu’g***<br/>
>ma lugū-b vs. ma äb lu’g<br/>
>1SG read-1SG  vs. 1SG NEG.PRS.1SG read.CNG<br/>
>‘I read’ vs. ‘I don’t read’

>b. *mēg **lu’ggõm** vs. mēg **äb lu’ggõm***<br/>
>mēg lu’gg-õm vs. mēg äb lu’gg-õm<br/>
>1PL read-1PL vs. 1PL NEG.1PL read-1PL<br/>
>‘we read’ vs. ‘we don’t read’

## Coding

The answer is '1', if in the present tense, standard negation is asymmetric in at least some part of the negative paradigm (as is the case with Livonian). The answer is '0' if, in the present tense, standard negation can only be symmetric.
",metslang_et_al_2015;wals-114
UT051,Can non-finite dependent clauses use the standard negation construction?,,,Syntax,UT,"
This question investigates whether the standard negation construction can also be used in non-finite dependent clauses. For instance, in Hungarian, the negative marker *nem* can be used in both contexts (see 1a and 1b). 

(1) Hungarian<br/>
>a. ***Nem** látva a kutyát, megbotlott*<br/>
>nem lát-va a kutyá-t, megbotl-ott<br/>
>NEG see-PTCP DEF dog-ACC trip.over-PST.3SG<br/> 
>'As he did not see the dog, he tripped over [it]'<br/>

>b. ***Nem** látta meg a kutyát és megbotlott*<br/>
>nem lát-ta meg a kutyá-t és megbotl-ott<br/>
>NEG see-PST.3SG PRV DEF dog and trip.over-PST.3SG<br/>
>'He did not see the dog and tripped over [it]'<br/>

By comparison, the Estonian particle *ei*, which appears in the standard negation construction is not compatible with non-finite dependent clauses and *mitte* has to be used instead (see UT052). 

## Coding

The value is '1' if the standard negation construction can also be used in non-finite dependent clauses (as in Hungarian). The answer is '0' if non-finite dependent clauses make use of a different negative marker or an entirely different negation construction is employed.

## Note

This question was provided by Ksenia Shagal & Matti Miestamo.",
UT052,Is there a special negator that combines with non-finite forms?,,,Morphology,UT,"
A language may contain a particle, suffix or some other negative marker that only appears with non-finite forms, i.e. it cannot negate finite verbs. In Beserman Udmurt, the present participle in *-š’* and non-past participle in *-no* are negated by a regular adjectival negative marker *-tem* (“a derivative suffix with caritive meaning” according to [Edygarova 2015](sources.bib?label=Edygarova+2015#cldf:edygarova_2015): 278), while the past participle in *-m* is negated with a specialized participial negative marker *-te*. Both of these markers count as special non-finite negators. In Estonian, there is a special negator *mitte*, which is used to negate non-finite forms (1a), while *ei* is used in standard negation construction (cf. 1b).

(1) Estonian<br/>
>a. *Küsimus-t **mitte** mõistes ta **ei** vasta-nud*<br/>
>question-PRT not understand.CVB s/he NEG answer-ACT.PST.PTCP<br/>
>'Having not understood the question, s/he did not answer'<br/>

>b. *Ta **ei** mõist-nud küsimus-t, seega ta **ei** vastanud*<br/>
>3SG NEG understand-ACT.PST.PTCP question-PRT so 3SG NEG answer-ACT.PST.PTCP<br/> 
>‘S/he did not understand the question, so s/he did not reply’<br/>

## Coding

The value is '1' if there is a special negative marker that is compatible with non-finite forms. Markers of non-finite forms that are inherently negative (i.e. cannot be analysed as a combination of two separate markers) were not considered when aswering this question (cf. UT053).

## Note

This question was provided by Ksenia Shagal & Matti Miestamo.
",edygarova_2015
UT053,Are there special negative non-finite forms?,,,Morphology,UT,"
Special negative non-finite forms are forms that can be considered as inherently negative. In such cases, the affixes cannot be analysed in a straightforward way as the respective affirmative marker + a negative marker. In Northern Khanty, for instance, there are two affirmative participles, the non-past participle in *-ti* and past participle in *-m*, and they are both negated by the form in *-li* (1).

(1) Northern Khanty<br/>
>a. *pe:jal-ti  xo:s-**li**   ńa:wre:m il   su:wil-ǝ-ti  pit-ǝ-s*<br/>
>swim-INF can-PTCP.NEG child   down  drown-EP-INF start-EP-PST.3SG<br/>
>‘A child who could not swim started drowning’<br/>

>b. *jo:nt-**li**    je:rnas śuŋ-na   xu:j-ǝ-l*<br/> 
>sew-PTCP.NEG  dress  corner-LOC  lie-EP-NONPST.3SG<br/>
>‘A dress which someone did not finish sewing lies in the corner’<br/>
([Nikolaeva 1999](sources.bib?label=Nikolaeva+1999#cldf:nikolaeva_semantics_1999):34; cited through [Shagal 2018](sources.bib?label=Shagal+2018#cldf:shagal_participial_2018))

The Finnish negative participle in *-maton* is diachronically *-ma* + nominal negator *-ton* (cf. *asunto* ‘apartment’ + *-ton = asunnoton* ‘the one without an apartment’), but it also has many idiosyncratic features, for instance, it can negate all participles (e.g., *koskaan kuolematon rakkaus* ‘the love that never dies’), including the agentive participle in *-ma*. Therefore, it can be regarded as a special negative non-finite form.

## Coding

The value is '1' if a language has inherently negative non-finite forms as described above. If no such forms can be found the answer is '0'.

## Note

This question was provided by Ksenia Shagal & Matti Miestamo.
",nikolaeva_semantics_1999;shagal_participial_2018
UT054,Is there an impersonal passive construction?,,,Syntax,UT,"
A common voice distinction is between active vs. passive. Certain kinds of oppositions, however, can be better described as a distinction between personal vs. impersonal voice (see also [Blevins 2003](sources.bib?label=Blevins+2003#cldf:BLEVINS_2003)). Although the communicative function of passive and impersonal may be similar, the corresponding constructions show differences in their underlying morphosyntax. Whereas passivization is a valency-reducing operation, as a result of impersonalization, the subject is deleted but no constituent is promoted to the subject position (argument realization is constrained), e.g., in (1a) the object retains its case form (cf. kuula-n muusika-t [listen-1SG music-PRT] ‘I listen to the music’). Impersonalization may involve intransitive verbs such as ‘to be’, ‘to live’ (1b), etc.

(1) Estonian<br/>
>a. ***Kuulatakse**  muusikat*<br/>
>kuula-takse  muusika-t<br/>
>listen-IPS.PRS music-PRT<br/>
>‘One listens to music’<br/>

>b. *Siin **elatakse** hästi*<br/>
>siin ela-takse hästi<br/>
>here live-IPS.PRS well<br/>
>'People live well here’ (lit. ‘It is lived well here’)

## Coding

The value is '1' if impersonalization is possible, i.e., the argument structure of the active clause may be retained and/or impersonalization can also involve intransitive verbs.
",BLEVINS_2003
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",,,Syntax,UT,"
Participles can be described on the basis of their capacity to relativize participants of a situation. Such participants include S (the single participant of an intransitive clause or the intransitive subject), A (the agent-like participant of a transitive clause), P (the patient-like participant of a transitive clause) and various oblique participants (locatives, instrumentals, etc.) (see [Shagal 2017](sources.bib?label=Shagal+2017#cldf:shagal_2017)). This question asks whether there are participles that can relativize only one specific participant (i.e., only S/A, P or S/P) and be inherently oriented towards that specific participant. Such participles can be found in Finnish, where active participles are S/A-oriented, i.e., they relativize subjects (1a), whereas passive participles are P-oriented, i.e. they relativize objects (1b) ([Shagal 2018](sources.bib?label=Shagal+2018#cldf:shagal_participial_2018):65). There is no one participle that can do both (e.g., *luettu* cannot be used for 1a, nor can *lukeva* be used for 1b).

(1) Finnish<br/> 
>a. ***lukeva** poika*<br/> 
>luke-va poika<br/> 
>read-ACT.PST.PTCP boy<br/>
>‘a reading boy’

(< *poika, joka lukee (kirjaa)* 'a boy who is reading (a book)'; *poika* 'boy' = S/A; thus, the active present participle relativizes subjects)<br/>

>b. ***luettu** kirja*<br/>
>lue-ttu kirja<br/>
>read-PASS.PST.PTCP book<br/>
>‘a book that has been read’

(< *lukea kirjaa* 'to read a book'; *kirja* 'book' = P; thus, the passive past participle relativizes P-arguments)

In some languages, the relevant forms may be referred to as nominalizations or converbs.

## Coding

The value is '1' if there is at least one such non-finite form, which specializes in relativizin one of these arguments. If one participle can relativize S/A, P, and S/P, the answer is '0'.
",shagal_2017;shagal_participial_2018
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,,,Syntax,UT,"
A participle may be used to relativize only one specific participant of a situation (i.e., only S/A, P or S/P; see UT055), but there are also participles that can relativize all core participants and possibly also some non-core participants, such as locatives and instrumentals ([Shagal 2017](sources.bib?label=Shagal+2017#cldf:shagal_2017): 1-3). For example, Hill Mari *-šašlə̑k* (1) can be used in a wide variety of contexts including for relativizing locatives ([Shagal 2018](sources.bib?label=Shagal+2018#cldf:shagal_participial_2018)).

(1) Hill Mari<br/>
>*[Vas’a(-n) ə̈lə̈-šäšlə̑k] pört-ə̈m mə̈n’ stroj-en-äm*<br/>
>Vasya(-GEN) live-PTCP.DEB house-ACC 1SG[NOM] build-PRF-1SG<br/>
>‘I built the house in which Vasya will live’<br/>
([Shagal 2018](sources.bib?label=Shagal+2018#cldf:shagal_participial_2018):57)

In some languages, the relevant forms may be referred to as nominalizations or converbs. 

## Coding

The value is '1' if a language contains at least one participle, which can relativize all core participants and possibly also some non-core participants.
",shagal_2017;shagal_participial_2018
