ID,Language_ID,Primary_Text,Gloss,Translated_Text,Ref,Source,Original_Script,Comment
UT123-1,Meadow Mari,ˈʃerge vs. ʃerˈge,,expensive vs. comb’,,,шерге vs. шерге,
UT124-1a,Finnish,ˈkæ.ve.le. mi.nen,,walking,,,käveleminen,
UT124-1b,Finnish,ˈkiel.tæ.ˌmi.nen,,forbidding,,,kieltäminen,
UT124-2,Estonian,ˈlauːl.ˌjan.na,,female singer,,,lauljanna,
UT125-1,Finnish,ˈki.veːn,stone.ILL.SG,stone,,,kiveen,
UT125-2,Udmurt,ku.ˈrɯt,,bitter,,,курыт,
UT126-1,Meadow Mari,kokɤ̘rɤ̘-kˈt-ɑʃ,cough-derCAUS-INF,make someone cough,,,кокырыкˈташ,
UT127-1,Udmurt,nu.ˈnal,,day,,,нунал,
UT128-1,Finnish,ˈvæ.sy.mys,,tiredness,,,väsymys,
UT128-2,Voro_South_Estonian,ˈkæp.pys.ˌtæ.mæ,,to pinch,,,käpüstämä,
UT129-1,Voro_South_Estonian,ˈa.sɤ.mɤl,,instead of,,,asõmõl,
UT130-1,Hungarian,ˈørdøg,,devil,,,ördög,
UT131-1,Finnish,ˈlau.lu,,song,,,laulu,
UT131-2,Voro_South_Estonian,ˈtoukː.kama,push.SUP,push,,,toukama,
UT131-3,Soikkola Ingrian,ˈhaiː.so,,smell,,,haizo,
UT132-1,Finnish,ˈtyø,,work,,,työ,
UT132-2,Lule Saami,kuollie,,fish,,,guolle,
UT133-1,Hungarian,ˈkɒr vs. ˈkaːr,,arm vs. damage; harm,,,kar vs. kár,
UT134-1,Meadow Mari,puˈʃaŋgə vs. koŋˈga,,tree vs. oven,,,пушанге vs. конга,
UT135-1,Finnish,ˈpyː.tæː,ask.INF,ask,,,pyytää,
UT135-2,Hungarian,ˈyd.vøʃ,,"beneficial, useful",,,üdvös,
UT136-1,Hungarian,ˈørdøg,,devil,,,ördög,
UT137-1,Voro_South_Estonian,ˈsɯ.sar,,sister,,,sysar,
UT137-2,Komi-Zyrian,ʃɯr,,mouse,,,шыр,
UT138-1,Estonian,ˈɤde,,sister,,,õde,
UT138-2,Komi-Zyrian,ʃɘr,,centre,,,шöр,
UT139-1,Hungarian,ˈɒb.lɒk,,window,,,ablak,
UT140-1,Finnish,ˈpæ.re vs. ˈpe.re,,pine splinter vs. family,,,päre vs. pere,
UT140-2,Estonian,ˈkærː.ke vs. ˈkerː.ke,honeycomb.PART.SG vs. light_easy,honeycomb vs. light; easy,,,kärge vs. kerge,
UT141-1,Estonian,ˈkri.ki.ˌse.ma,scrunch.SUP,scrunch,,,krigisema,
UT141-2,Meadow Mari,kre.da.ˈlaʃ,fight.SUP,fight,,,кредалаш,
UT141-3,Erzya,kʃi,,bread,,,кши,
UT142-1,Erzya,ˈʃum.brat,,hi; hello,,,шумбрат,
UT143-1,Finnish,ˈmyrs.ky,,storm,,,myrsky,
UT145-1,Estonian,ˈjærsk,,rough,,,järsk,
UT145-2,Erzya,ˈpurdavks,,"curve, turn",,,пурдавкс,
UT146-1,Estonian,halʲː vs. halː,,grey vs. frost,,,hall´ vs. hall,
UT147-1,Voro_South_Estonian,kamʲpʲ vs. kamp,,"lump, piece vs. gang, company, crew",,,kamp´ vs. kamp,
UT148-1,Hungarian,nɒc,,big,,,nagy,
UT149-1,Hungarian,ɲaːr,,summer,,,nyár,
UT150-1,Hungarian,ʎuk,,hole,,,lyuk,
UT151-1,Finnish,ˈkaŋːas,,fabric,,,kangas,
UT151-2,Kazym Khanty,jaŋ,,ten,,,яӈ,
UT152-1,Hungarian,ˈt͡si.t͡sɒ,,kitten,,,cica,
UT153-1,Hungarian,ˈt͡ʃo.dɒ,,miracle,,,csoda,
UT154-1,Hungarian,sɒr.kɒ vs. ʃɒr.kɒ,magpie vs. corner.POSS.3SG,magpie vs. corner,,,szarka vs. sarka,
UT155-1,Hungarian,jobː,,right; better,,,jobb,
UT156-1,Voro_South_Estonian,ˈka.laˀ,fish.PL,fish,,,kalaq,
UT157-1,North_Mansi,"takʷəs, akʷ vs. kit",,"autumn, one vs. two",,,"таквыс, акв vs. кит",
UT158-1,Udmurt,d͡ʑut͡ɕ,,Russian,,,ӟуч,
UT159-1,Finnish,ˈra.ha,,money,,,raha,
UT159-2,Hungarian,hoː,,snow,,,hó,
UT160-1,Skolt Saami,joːɣːᴈst,river.SG.LOC,river,,,jooǥǥâst,
UT161-1,North_Mansi,xɑːp,,boat,,,хар,
UT162-1,Meadow Mari,kuðo,,hut,,,кудо,< Proto-Finno-Ugric *kota
UT162-2,Hill Mari,kuðɤ̘,,hut,,,куды,
UT163-1,South Selkup,wərqɯ,,big,,,,
UT163-2,Surgut Khanty,newi,,white,,,,
UT164-1,Hungarian,fɒ,,tree,,,fa,
UT165-1,Finnish,jal.ka vs. ˈja.lat,leg vs. leg.PL,leg vs. legs,,,jalka vs. jalat,
UT165-2,Voro_South_Estonian,selʲːk vs. ˈse.læˀ,back vs. back.PL,back,,,selg vs. seläq,
UT165-3,Lule Saami,ma:k:sa: vs. ma:vsa:,pay.3SG.PRS vs. pay.2SG.PRS,pays vs. pay,,,máksá vs. mávsá,
UT166-1,Voro_South_Estonian,ˈkɤtː.tu vs. ˈkɤ.tuˀ,stomach.ILL.SG vs. stomach.NOM.PL,stomach,,,kõttu vs. kõtuq,
UT166-2,Lule Saami,kuollie vs. kuolie,fish.NOM.SG vs. fish.GEN.SG,fish,,,guolle vs. guole,
